user_id,goal_id,assigned_at,due_date,status,completed_at
1,26,2023-07-01T10:00:00Z,2023-12-31T23:59:59Z,in_progress,
1,30,2023-07-02T11:30:00Z,2023-11-30T23:59:59Z,completed,2023-10-15T14:45:00Z
1,35,2023-07-03T09:15:00Z,2024-01-31T23:59:59Z,not_done,
1,41,2023-07-04T14:00:00Z,2023-12-15T23:59:59Z,in_progress,
1,45,2023-07-05T16:45:00Z,2024-02-29T23:59:59Z,not_done,
2,28,2023-07-06T08:30:00Z,2023-10-31T23:59:59Z,completed,2023-09-30T18:20:00Z
2,33,2023-07-07T13:00:00Z,2024-03-31T23:59:59Z,in_progress,
2,38,2023-07-08T11:45:00Z,2023-12-31T23:59:59Z,not_done,
2,43,2023-07-09T10:30:00Z,2024-01-15T23:59:59Z,in_progress,
3,25,2023-07-10T15:15:00Z,2023-11-30T23:59:59Z,completed,2023-11-15T09:30:00Z
3,31,2023-07-11T09:45:00Z,2024-02-28T23:59:59Z,in_progress,
3,37,2023-07-12T14:30:00Z,2023-12-31T23:59:59Z,not_done,
4,24,2023-07-13T11:00:00Z,2023-10-31T23:59:59Z,completed,2023-10-20T16:45:00Z
4,29,2023-07-14T16:30:00Z,2024-01-31T23:59:59Z,in_progress,
5,27,2023-07-15T10:45:00Z,2023-12-15T23:59:59Z,not_done,
